,Product,Price,Image,Link,Reviews,Stars,Discount,Tikinow,Badge under price,Installment,gift
229,Laptop Asus VivoBook M413IA-EK338T (R5-4500U/ 8GB DDR4 2666MHz/ 512GB SSD M.2 PCIE G3X2/ 14 FHD/ Win10) - Hàng Chính Hãng,14.659.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/91/62/21/ff58f091128297d37b5fe83bcbc34752.jpg,https://tiki.vn/laptop-asus-vivobook-m413ia-ek338t-r5-4500u-8gb-ddr4-2666mhz-512gb-ssd-m-2-pcie-g3x2-14-fhd-win10-hang-chinh-hang-p68823638.html?src=ss-organic,4,3.5,-8%,Yes,No,Yes,No
230,Ram PC Corsair Vengeance LPX 16GB 3000MHz DDR4 (1x16GB) CMK16GX4M1D3000C16-Hàng Chính Hãng,2.190.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/39/5e/82/1c33c46218369b8c8ef341257a2743ca.png,https://tiki.vn/ram-pc-corsair-vengeance-lpx-16gb-3000mhz-ddr4-1x16gb-cmk16gx4m1d3000c16-hang-chinh-hang-p55791807.html?src=ss-organic,47,4.8,-14%,Yes,Yes,No,No
231,Laptop MSI Modern 14 B10MW-427VN (Core i3-10110U/ 8GB DDR4 3200MHz/ 256GB PCIe NVMe/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,13.079.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/fb/f5/86/4b20ee5b97d713a7b6e1cb8733bb5033.jpg,https://tiki.vn/laptop-msi-modern-14-b10mw-427vn-core-i3-10110u-8gb-ddr4-3200mhz-256gb-pcie-nvme-14-fhd-ips-win10-hang-chinh-hang-p77717897.html?src=ss-organic,2,4.5,-7%,Yes,No,Yes,No
232,Ổ Cứng SSD WD Blue 3D NAND 500GB WD WDS500G2B0A (2.5 inch) - Hàng Chính Hãng,1.580.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/0e/b9/53/82e0e84840a46d7503362d29f3186425.jpg,https://tiki.vn/o-cung-ssd-wd-blue-3d-nand-500gb-wd-wds500g2b0a-2-5-inch-hang-chinh-hang-p990925.html?src=ss-organic,120,4.8,-30%,Yes,Yes,No,No
233,Hộp mực máy in 12A cho máy in Canon 2900 3000 HP 1010 1020 (Hàng nhập khẩu mới 100%),112.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/35/01/cd/4f203dd316f5b4807add86065072f288.jpg,https://tiki.vn/hop-muc-may-in-12a-cho-may-in-canon-2900-3000-hp-1010-1020-hang-nhap-khau-moi-100-p16572969.html?src=ss-organic,132,4.7,-41%,Yes,No,No,No
234,Laptop Acer Aspire 5 A514-54-51RB NX.A2ASV.003 (Core i5-1135G7/ 8GB (4GBx2) DDR4 2666MHz/ 256GB SSD M.2 PCIE/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,15.819.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/2e/51/72/c1808ab9e3f74c94bccb363c22bb34ca.jpg,https://tiki.vn/laptop-acer-aspire-5-a514-54-51rb-nx-a2asv-003-core-i5-1135g7-8gb-4gbx2-ddr4-2666mhz-256gb-ssd-m-2-pcie-14-fhd-ips-win10-hang-chinh-hang-p73830099.html?src=ss-organic,3,4.7,-10%,Yes,No,Yes,No
235,"Dây cáp mạng Cat6 UTP Vention, dạng dẹt - độ dài 1m-15m dùng cho máy tính, laptop - Hàng chính hãng",47.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/71/bf/bd/2f168a1292ca776018f71559573402e4.jpg,https://tiki.vn/day-cap-mang-ethernet-cat6-vention-dang-det-hai-dau-duc-san-utp-dai-1m-den-15m-hang-chinh-hang-p55576273.html?src=ss-organic,25,4.8,-18%,Yes,Yes,No,No
236,Laptop HP 14s-dk1055au 171K9PA (AMD R3-3250U /4GB/ 256GB SSD/ 14 HD/ Win10) - Hàng Chính Hãng,9.399.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/d7/0a/e0/4b92cd3f78178af8b063be96d6b39b92.jpg,https://tiki.vn/laptop-hp-14s-dk1055au-171k9pa-amd-r3-3250u-4gb-256gb-ssd-14-hd-win10-hang-chinh-hang-p63851307.html?src=ss-organic,3,5.0,-10%,Yes,Yes,Yes,No
237,Laptop Dell Inspiron 5593 7WGNV1 Core i5-1035G1/ Win10 (15.6 FHD) - Hàng Chính Hãng,17.590.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/ff/78/cd/3c908fbd3e07b2542f2a355109e3c278.jpg,https://tiki.vn/laptop-dell-inspiron-5593-7wgnv1-core-i5-1035g1-win10-15-6-fhd-hang-chinh-hang-p39992118.html?src=ss-organic,4,5.0,-12%,Yes,Yes,No,No
238,USB SanDisk CZ430 Ultra Fit 16GB USB 3.1 - Hàng Chính Hãng,105.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/f2/ce/71/da5f67026ad578d53b9d2b58801e50a4.png,https://tiki.vn/usb-sandisk-cz430-ultra-fit-16gb-usb-3-1-hang-chinh-hang-p13150843.html?src=ss-organic,18,4.8,-42%,Yes,Yes,No,No
239,"Laptop HP 15s-du1055TU, Pentium 6405U(2.40 GHz,2MB),4GB RAM,256GB SSD,Intel Graphics,15.6""HD,Win 10 Home 64,Silver_1W7P3PA - Hàng Chính Hãng",8.500.000 ₫,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,https://tiki.vn/laptop-hp-15s-du1055tu-pentium-6405u-2-40-ghz-2mb-4gb-ram-256gb-ssd-intel-graphics-15-6-hd-win-10-home-64-silver_1w7p3pa-hang-chinh-hang-p77721309.html?src=ss-organic,Not available,Not available,-1%,Yes,No,No,No
240,Ổ Cứng SSD Samsung PM981A M2 2280 PCIe NVMe - Hàng Nhập Khẩu,1.188.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/4b/48/e1/9298a5af1b0b2cb8235455a8f81f050e.jpg,https://tiki.vn/o-cung-ssd-samsung-pm981a-m2-2280-pcie-nvme-hang-nhap-khau-p54708669.html?src=ss-organic,90,4.8,-32%,Yes,Yes,No,No
241,Laptop Dell Vostro 15 3500 V5I3001W (Core i3-1115G4/ 8GB/ 256GB SSD/ 15.6 FHD/ Win10) - Hàng Chính Hãng,12.109.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/67/13/22/a2aa179e9dfddb7ae97ef5fa5a8cbf62.jpg,https://tiki.vn/laptop-dell-vostro-15-3500-v5i3001w-core-i3-1115g4-8gb-256gb-ssd-15-6-fhd-win10-hang-chinh-hang-p82072797.html?src=ss-organic,Not available,Not available,-7%,Yes,No,Yes,No
242,USB Thu Bluetooth 4.0 Ugreen 30524 - Hàng Chính Hãng,159.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/ce/7b/50/8ad553f917ed25c24f96ac3392f10006.jpg,https://tiki.vn/usb-thu-bluetooth-4-0-ugreen-30524-hang-chinh-hang-p11633356.html?src=ss-organic,138,4.7,-45%,Yes,No,No,No
243,TP-Link  TL-WN821N - USB Wifi Chuẩn N Tốc Độ 300Mbps - Hàng Chính Hãng,171.000 ₫,https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/l/tl-wn821n.jpg,https://tiki.vn/tp-link-tl-wn821n-usb-wifi-chuan-n-toc-do-300mbps-hang-chinh-hang-p416914.html?src=ss-organic,197,4.5,-20%,Yes,Yes,No,No
244,Bộ Phát Sóng Wifi Router Chuẩn N 300Mbps Tenda N301 - Hàng Chính Hãng,288.000 ₫,https://salt.tikicdn.com/cache/280x280/media/catalog/product/4/1/41hbgvbgd_l._sl1000_.jpg,https://tiki.vn/bo-phat-song-wifi-router-chuan-n-300mbps-tenda-n301-hang-chinh-hang-p459077.html?src=ss-organic,2,5.0,-1%,No,No,No,No
